driver_id,driver_name,model,mae,coverage,interval_width,composite
0,GR86-002-000,GradientBoosting,0.47213268987035156,0.8571428571428571,2.1747738665992893,0.23679387755552722
2,GR86-060-2,GradientBoosting,0.7910409904347944,1.0,2.1747738665992906,0.3851222204863608
3,GR86-040-3,RandomForest,0.5675977578347866,0.8888888888888888,2.2604418181820165,0.1994131639320229
5,GR86-065-5,XGBoost,0.3719615614149284,0.8888888888888888,1.5570847988128662,0.047816238753493105
8,GR86-012-8,XGBoost,0.535996337890623,0.8,1.5570862293243408,0.2431045665923708
13,GR86-022-13,LightGBM,0.6786287574978663,1.0,2.493642822510566,0.43238175104825927
16,GR86-010-16,XGBoost,0.23040597534179952,1.0,1.5570831298828125,0.21048301706046646
18,GR86-030-18,XGBoost,0.3144292399088566,1.0,1.5570831298828125,0.21945228122870633
21,GR86-047-21,XGBoost,0.22639844970702824,1.0,1.5570862293243408,0.21005580016611874
46,GR86-033-46,XGBoost,0.17673182678222688,1.0,1.5570869445800781,0.2047541507372695
47,GR86-025-47,XGBoost,0.25502925109862673,1.0,1.5570869445800781,0.21311219640480117
55,GR86-016-55,XGBoost,0.15851429748535395,1.0,1.5570869445800781,0.20280947703769076
57,GR86-057-57,Ridge,0.8672472819129146,1.0,3.672300583261631,0.6715603961964094
80,GR86-013-80,GradientBoosting,0.2709998543788572,1.0,2.1747738665992813,0.3296091866656518
88,GR86-049-88,XGBoost,0.20247853597005872,1.0,1.5570882558822632,0.20750278843195075
89,GR86-028-89,XGBoost,0.316094030761721,1.0,1.5570831298828125,0.21962999330667843
93,GR86-038-93,GradientBoosting,0.21576362080197775,1.0,2.174773866599285,0.3237128629133869
98,GR86-036-98,XGBoost,0.5803200683593772,0.75,1.5570907592773438,0.34783685097804334
113,GR86-063-113,GradientBoosting,0.8485227354509087,0.7777777777777778,2.1747738665992875,0.4357026911677938
